,nicd_no,original_no,ecological_zone,locality,village,longitude,latitude,date,temp_indoor,sat_temp,sat_temp_min,sat_temp_max,satelite_outdoor_rh,temp,rh,li,ws,resting_site,material_type,resting_surface,material_colour,movability,morphological_id,molecular_id,sp_elisa,species,blood_source,point_x,point_y,days_count,date_label,mosquito_ID,SDT_24.11,SDT_24.23,SDT_24.90,SDT_24.94,SDT_25.26,SDT_25.43,SDT_25.60,SDT_25.68,SDT_25.71,SDT_26.38,SDT_27.19,SDT_27.27,SDT_27.36,SDT_27.64,SDT_27.90,avg_sim_sat,observed_date_level_SDT,model_predicted_Mean_Temp,mean_simulated_MRST
11,GH016,GH016,Coastal Savanna,Gomoa East,Adawukwa,N05-24.965,W000-36.734,9/6/2011,30.1,25.43,24.05,28.26,86.22,21.9,79.4,3,0,Roof,Brick tile,R_3,Normal,No,gambiae,gambiae,negative,coluzzii,undetected,-0.612486019,5.415065585,2,6-Sep-11,11,30.2,28.47,25.46,29.03,26.13,27.85,27.43,23.72,29.17,29.26,33.35,31.24,31.66,29.12,29.93,28.8,25.43,28.72421353,28.67834957
12,GH017,GH017,Coastal Savanna,Gomoa East,Adawukwa,N05-24.966,W000-36.735,9/6/2011,30.1,25.43,24.05,28.26,86.22,29.1,72.3,0,0,Roof,Brick tile,R_3,Normal,No,gambiae,funestus,negative,funestus,undetected,-0.612496019,5.415075585,2,6-Sep-11,12,28.11,28.97,30.32,29.2,28.4,29,27.92,29.15,30.46,32.08,30.16,30.68,27.71,27.47,29.8,29.3,25.43,28.72421353,28.6641728
13,GH018,GH018,Coastal Savanna,Gomoa East,Adawukwa,N05-24.967,W000-36.736,9/6/2011,30.1,25.43,24.05,28.26,86.22,29.1,71.7,0,0,Roof,Brick tile,R_3,Normal,No,gambiae,gambiae,negative,coluzzii,Human,-0.612506019,5.415085585,2,6-Sep-11,13,28.21,26.88,31.73,29.74,30.53,27.1,25.42,30.58,30.52,25.96,34.3,30.28,30.85,29.72,31.97,29.59,25.43,28.72421353,28.77491118
14,GH019,GH019,Coastal Savanna,Gomoa East,Adawukwa,N05-24.968,W000-36.737,9/6/2011,30.1,25.43,24.05,28.26,86.22,29,72.5,124,0,Eve,Brick tile,R_3,Normal,No,gambiae,gambiae,negative,coluzzii,Human,-0.612516019,5.415095585,2,6-Sep-11,14,27.5,25.8,32.86,25.21,27.91,29.63,30.71,27.16,31.94,28.47,29.72,31,30.09,29.64,35.76,29.56,25.43,28.72421353,28.851537
15,GH020,GH020,Coastal Savanna,Gomoa East,Adawukwa,N05-24.969,W000-36.738,9/6/2011,30.1,25.43,24.05,28.26,86.22,29.3,72.1,5,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,coluzzii,Human,-0.612526019,5.415105585,2,6-Sep-11,15,25.88,27.77,30.06,28.43,28,28.53,32.86,25.78,26.96,31.53,28.28,28.3,33.61,32.07,30.97,29.27,25.43,28.72421353,28.61143673
16,GH021,GH021,Coastal Savanna,Gomoa East,Adawukwa,N05-24.970,W000-36.739,9/6/2011,30.1,25.43,24.05,28.26,86.22,30.3,69,13,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,coluzzii,Human,-0.612536019,5.415115585,2,6-Sep-11,16,31.57,28.43,32.6,25.88,29.28,28.61,26.68,27.55,31.21,31.28,31.27,33.6,28.11,30.45,31.28,29.85,25.43,28.72421353,28.71014315
17,GH022,GH022,Coastal Savanna,Gomoa East,Adawukwa,N05-24.971,W000-36.740,9/6/2011,30.1,25.43,24.05,28.26,86.22,30.4,71.4,28,0,Mosquito net,Polyester,R_2,White,No,gambiae,gambiae,negative,coluzzii,Human,-0.612546019,5.415125585,2,6-Sep-11,17,28.44,29.51,31.15,28.17,28.39,23.99,26,25.24,24.89,30.66,32.38,32.37,25.94,27.8,32.01,28.46,25.43,28.72421353,28.78333982
18,GH023,GH023,Coastal Savanna,Gomoa East,Adawukwa,N05-24.972,W000-36.741,9/6/2011,30.1,25.43,24.05,28.26,86.22,30.6,71.1,15,0,Mosquito net,Polyester,R_2,White,Yes,gambiae,gambiae,negative,coluzzii,Human,-0.612556019,5.415135585,2,6-Sep-11,18,22.46,22.39,27.81,31.43,27.18,27.09,31.06,30.71,34.08,30.5,27.09,30.99,32.04,30.77,31.67,29.15,25.43,28.72421353,28.65904424
19,GH024,GH024,Coastal Savanna,Gomoa East,Adawukwa,N05-24.973,W000-36.742,9/6/2011,30.1,25.43,24.05,28.26,86.22,30.7,71.6,21,0,Mosquito net,Polyester,R_2,White,Yes,gambiae,gambiae,negative,coluzzii,Human,-0.612566019,5.415145585,2,6-Sep-11,19,28.94,23.4,29.28,26.95,28.2,25.11,25.24,30.4,27.65,25.75,26.74,33.1,33.19,32.67,29.71,28.42,25.43,28.72421353,28.66012779
20,GH025,GH025,Coastal Savanna,Gomoa East,Adawukwa,N05-24.974,W000-36.743,9/6/2011,30.1,25.43,24.05,28.26,86.22,30.4,70.7,20,0,Mosquito net,Polyester,R_2,White,Yes,gambiae,gambiae,negative,coluzzii,Human,-0.612576019,5.415155585,2,6-Sep-11,20,26.09,30.84,25.77,29.91,33.1,24.83,33.58,25.13,28.27,31.86,30.82,27.84,32,27.96,33.91,29.46,25.43,28.72421353,28.91973982
21,GH026,GH026,Coastal Savanna,Gomoa East,Adawukwa,N05-24.975,W000-36.744,9/6/2011,30.1,25.43,24.05,28.26,86.22,30.3,69.1,46,0,Mosquito net,Polyester,R_2,White,Yes,gambiae,gambiae,negative,coluzzii,Human,-0.612586019,5.415165585,2,6-Sep-11,21,24.64,29.91,27.68,26.35,30.65,27.53,30.3,27.49,29.67,30.32,31.88,33.44,34.19,33.65,28.53,29.75,25.43,28.72421353,28.69824626
22,GH027,GH027,Coastal Savanna,Gomoa East,Adawukwa,N05-24.976,W000-36.745,9/6/2011,30.1,25.43,24.05,28.26,86.22,30.5,68.3,11,0,Mosquito net,Polyester,R_2,White,Yes,gambiae,gambiae,negative,coluzzii,Human,-0.612596019,5.415175585,2,6-Sep-11,22,26.7,28.43,31.09,27.01,26.31,28.33,24.75,31.55,26.01,25.39,25.02,31.32,33.09,32.94,29.14,28.47,25.43,28.72421353,28.62387626
23,GH028,GH028,Coastal Savanna,Gomoa East,Adawukwa,N05-24.977,W000-36.746,9/6/2011,30.1,25.43,24.05,28.26,86.22,30.5,68.3,11,0,Mosquito net,Polyester,R_2,White,Yes,gambiae,gambiae,negative,coluzzii,Human,-0.612606019,5.415185585,2,6-Sep-11,23,24.74,29.1,29.44,29.24,25.51,29.41,29.78,28.6,28.4,29.38,26.57,32.02,28.65,34.86,30.51,29.08,25.43,28.72421353,28.5369741
24,GH029,GH029,Coastal Savanna,Gomoa East,Adawukwa,N05-24.978,W000-36.747,9/6/2011,30.1,25.43,24.05,28.26,86.22,30.5,68.3,11,0,Mosquito net,Polyester,R_2,White,Yes,gambiae,gambiae,negative,coluzzii,Human,-0.612616019,5.415195585,2,6-Sep-11,24,25.46,29.59,29.24,26.52,27.66,31.37,29.17,29.03,29.19,32.11,31.46,29.7,33.16,30.42,30.84,29.66,25.43,28.72421353,28.81966618
25,GH030,GH030,Coastal Savanna,Gomoa East,Adawukwa,N05-24.979,W000-36.748,9/6/2011,30.1,25.43,24.05,28.26,86.22,30.3,69.8,15,0,Mosquito net,Polyester,R_2,White,Yes,gambiae,gambiae,negative,coluzzii,Human,-0.612626019,5.415205585,2,6-Sep-11,25,25.72,20.91,25.61,24.04,31.76,29.8,22.93,30.02,28.22,31.51,32.87,28.9,29.48,32.25,34.07,28.54,25.43,28.72421353,28.77091906
26,GH031,GH031,Coastal Savanna,Gomoa East,Adawukwa,N05-24.980,W000-36.749,9/6/2011,30.1,25.43,24.05,28.26,86.22,30.3,69.8,15,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,coluzzii,Human,-0.612636019,5.415215585,2,6-Sep-11,26,23.14,30.06,26.66,31.24,29.24,31.18,28.81,30.53,33.96,28.27,29.79,29.48,33.59,29.1,30,29.67,25.43,28.72421353,28.80921328
27,GH033,GH033,Coastal Savanna,Gomoa East,Adawukwa,N05-24.981,W000-36.750,9/6/2011,30.1,25.43,24.05,28.26,86.22,29.2,70.7,0,0,Table cover,Cotton,R_2,Brown,Yes,salbaii/gambiae,gambiae,negative,coluzzii,Human,-0.612646019,5.415225585,2,6-Sep-11,27,29.27,26.19,26.27,29.05,26.83,27.45,27.49,31.93,24.7,32,33.63,33.32,33.31,30.6,31.08,29.54,25.43,28.72421353,28.84849012
28,GH053,GH053,Coastal Savanna,Gomoa East,Adawukwa,N05-24.982,W000-36.751,9/6/2011,30.1,25.43,24.05,28.26,86.22,30,71.4,0,0,Roofing beam,Bamboo,R_1,Normal,No,funestus,funestus,negative,funestus,Human,-0.612656019,5.415235585,2,6-Sep-11,28,27.61,27.93,29.08,26.75,30.67,27.98,26.76,30.88,28.78,28.83,29.22,33.45,30.78,28.66,30.71,29.21,25.43,28.72421353,28.6516315
29,GH054,GH054,Coastal Savanna,Gomoa East,Adawukwa,N05-24.983,W000-36.752,9/6/2011,30.1,25.43,24.05,28.26,86.22,30.7,66.7,0,0,Shoe lace,Cotton,R_2,White,Yes,culicifacies/funestus,funestus,negative,funestus,Human,-0.612666019,5.415245585,2,6-Sep-11,29,24.47,26.65,25.72,23.33,28.21,31.36,29.5,25.66,31.9,30.72,30.31,34.58,33.5,33.83,35.41,29.68,25.43,28.72421353,28.50744454
30,GH055,GH055,Coastal Savanna,Gomoa East,Adawukwa,N05-24.984,W000-36.753,9/6/2011,30.1,25.43,24.05,28.26,86.22,30.3,68.1,0,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,coluzzii,Human,-0.612676019,5.415255585,2,6-Sep-11,30,30.28,29.49,29.49,32.79,25.81,28.73,30.98,28.13,27.01,32.05,33.99,30.65,30.25,27.71,35.03,30.16,25.43,28.72421353,28.69446098
31,GH056,GH056,Coastal Savanna,Gomoa East,Adawukwa,N05-24.985,W000-36.754,9/6/2011,30.1,25.43,24.05,28.26,86.22,30,71.4,0,0,Roofing beam,Bamboo,R_1,Normal,No,funestus,funestus,negative,funestus,Human,-0.612686019,5.415265585,2,6-Sep-11,31,28.27,26.52,25.42,36.4,29.65,24.65,33.11,29.74,28.7,30.75,30.51,28.97,33.36,32.71,28.95,29.85,25.43,28.72421353,28.77181407
32,GH059,GH059,Coastal Savanna,Gomoa East,Adawukwa,N05-24.986,W000-36.755,9/6/2011,30.1,25.43,24.05,28.26,86.22,30.1,68.9,11,0,Roof,Straw,R_1,Normal,No,funestus,funestus,negative,funestus,Human,-0.612696019,5.415275585,2,6-Sep-11,32,26.52,28.63,32.56,28.67,32.23,26.67,22.53,28.74,33.76,28.21,30.78,34.38,25.31,29.56,32.57,29.41,25.43,28.72421353,28.71729877
33,GH063,GH063,Coastal Savanna,Gomoa East,Adawukwa,N05-24.987,W000-36.756,9/6/2011,30.1,25.43,24.05,28.26,86.22,29.3,71.3,47,0,Roof,Straw,R_1,Normal,No,funestus,funestus,negative,funestus,Human,-0.612706019,5.415285585,2,6-Sep-11,33,29.41,26.42,29.24,30.23,29.59,31.17,30.72,23.72,24.51,31.79,28.53,27.04,28.35,28.68,28.37,28.52,25.43,28.72421353,28.81481359
34,GH064,GH064,Coastal Savanna,Gomoa East,Adawukwa,N05-24.988,W000-36.757,9/6/2011,30.1,25.43,24.05,28.26,86.22,29.8,69.6,9,0,Roofing beam,Wood,R_1,Normal,No,funestus,funestus,positive,funestus,undetected,-0.612716019,5.415295585,2,6-Sep-11,34,29.36,24.72,26.42,31.14,29,27.24,26.6,27.17,27.09,33.38,30.87,30.42,31.26,34.77,29.5,29.26,25.43,28.72421353,28.76597491
35,GH068,GH068,Coastal Savanna,Gomoa East,Adawukwa,N05-24.989,W000-36.758,9/6/2011,30.1,25.43,24.05,28.26,86.22,29,70.6,65,0,Roof,Straw,R_1,Normal,No,funestus,funestus,negative,funestus,undetected,-0.612726019,5.415305585,2,6-Sep-11,35,29.23,30.31,28.71,26.47,26.94,29.53,31.72,31.47,26.13,27.54,29.15,32.27,29.66,31.48,30.1,29.38,25.43,28.72421353,28.71381633
36,GH075,GH075,Forest,Adansi Asokwa,Atatam,N06-17.377,W001-27.545,9/8/2011,27.1,24.23,22.52,27.26,85.03,28.3,72.1,0,0,Roof,Aluminium,R_3,Smoke tanned,No,gambiae,gambiae,negative,gambiae,Human,-1.459445059,6.285434297,3,8-Sep-11,36,28.9,29.17,27.27,27.32,29.91,28.76,29.76,29.39,30.57,29.36,26.34,27.98,24.43,32.03,29.46,28.71,24.23,27.36876499,27.58877539
37,GH076,GH076,Forest,Adansi Asokwa,Atatam,N06-17.378,W001-27.546,9/8/2011,27.1,24.23,22.52,27.26,85.03,28.1,70.9,0,0,Roof,Aluminium,R_3,Smoke tanned,No,gambiae,gambiae,negative,gambiae,undetected,-1.459455059,6.285444297,3,8-Sep-11,37,28.58,31.55,29.03,23.98,25.93,27.52,32.42,25.43,26.94,32.23,28.36,27.02,28.88,31.69,32.07,28.78,24.23,27.36876499,27.17570672
38,GH077,GH077,Forest,Adansi Asokwa,Atatam,N06-17.379,W001-27.547,9/8/2011,27.1,24.23,22.52,27.26,85.03,26.8,75.6,0,0,Roof,Aluminium,R_3,Smoke tanned,No,gambiae,gambiae,negative,coluzzii,Human,-1.459465059,6.285454297,3,8-Sep-11,38,27.08,27.53,28.72,26.38,24.52,27.87,25.32,29.53,30.18,27.73,30.13,31.99,34.82,32.8,30.75,29.02,24.23,27.36876499,27.23057464
39,GH078,GH078,Forest,Adansi Asokwa,Atatam,N06-17.380,W001-27.548,9/8/2011,27.1,24.23,22.52,27.26,85.03,26.8,75.6,0,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,gambiae,Human,-1.459475059,6.285464297,3,8-Sep-11,39,26.49,30.1,25.66,29.68,28.43,29.67,30.12,28.62,27.47,25.62,31.11,34.74,27.97,34.8,32.26,29.52,24.23,27.36876499,27.30682388
40,GH079,GH079,Forest,Adansi Asokwa,Atatam,N06-17.381,W001-27.549,9/8/2011,27.1,24.23,22.52,27.26,85.03,25.6,80.7,0,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,gambiae,Human,-1.459485059,6.285474297,3,8-Sep-11,40,26.31,32.16,26.2,27.47,28.45,29.23,29.63,30.64,28.67,28.6,33.3,29.07,31.31,31.37,34.5,29.79,24.23,27.36876499,27.24314477
41,GH080,GH080,Forest,Adansi Asokwa,Atatam,N06-17.382,W001-27.550,9/8/2011,27.1,24.23,22.52,27.26,85.03,26,81,0,0,Rope,Nylon,R_2,Green,Yes,gambiae,gambiae,negative,gambiae,Human,-1.459495059,6.285484297,3,8-Sep-11,41,25.55,26.69,28.85,27.65,34.27,31.72,31.46,34.12,31.12,32.39,30.81,29.14,29.71,34.18,34.36,30.8,24.23,27.36876499,27.32861538
42,GH081,GH081,Forest,Adansi Asokwa,Atatam,N06-17.383,W001-27.551,9/8/2011,27.1,24.23,22.52,27.26,85.03,26.3,77.3,0,0,Window frame,Wood,R_1,Normal,No,funestus,funestus,negative,funestus,undetected,-1.459505059,6.285494297,3,8-Sep-11,42,26.73,24.16,32.1,27.9,25.58,28.24,28.36,25.33,29.37,26.49,30.4,28.52,30.95,25.52,26.49,27.74,24.23,27.36876499,27.34601966
43,GH083,GH083,Forest,Adansi Asokwa,Atatam,N06-17.384,W001-27.552,9/8/2011,27.1,24.23,22.52,27.26,85.03,27.1,77.3,0,0,Cielling,Palm Frond,R_1,Normal,No,gambiae,gambiae,negative,gambiae,Human,-1.459515059,6.285504297,3,8-Sep-11,43,24.16,26.79,30.76,23.65,28.95,26.48,31.69,27.78,24.33,29.19,33.4,34.41,30.47,32.75,30.9,29.05,24.23,27.36876499,27.30329142
44,GH085,GH085,Forest,Adansi Asokwa,Atatam,N06-17.385,W001-27.553,9/8/2011,27.1,24.23,22.52,27.26,85.03,28,75.6,0,0,Wall,Mud,R_1,Off white,No,gambiae,gambiae,negative,gambiae,Human,-1.459525059,6.285514297,3,8-Sep-11,44,32.5,26.85,26.61,30.2,30.49,29.13,27.84,28.67,27.74,32.13,36.57,29.08,30.57,32.25,32.67,30.22,24.23,27.36876499,27.34110684
45,GH086,GH086,Forest,Adansi Asokwa,Atatam,N06-17.386,W001-27.554,9/8/2011,27.1,24.23,22.52,27.26,85.03,27.4,75,0,0,Roofing beam,Wood,R_1,Normal,No,funestus,funestus,negative,funestus,Human,-1.459535059,6.285524297,3,8-Sep-11,45,30.17,27.74,30.13,24.67,31.08,30.44,27.87,23.82,30.77,29.91,30.5,28.77,30.61,31.66,34.34,29.5,24.23,27.36876499,27.29784558
46,GH088,GH088,Forest,Adansi Asokwa,Atatam,N06-17.387,W001-27.555,9/8/2011,27.1,24.23,22.52,27.26,85.03,28.1,72.4,4,0,Wooden plank,Wood,R_1,Normal,Yes,gambiae,gambiae,negative,gambiae,undetected,-1.459545059,6.285534297,3,8-Sep-11,46,24.51,31.52,28.01,27.66,28.51,34.26,28.98,28.93,33.56,31.17,33.57,28.85,25.62,31.53,30.13,29.79,24.23,27.36876499,27.26745026
47,GH091,GH091,Forest,Adansi Asokwa,Atatam,N06-17.388,W001-27.556,9/8/2011,27.1,24.23,22.52,27.26,85.03,29.1,70.3,18,0,Wall,Mud,R_1,Normal,No,gambiae,gambiae,negative,gambiae,undetected,-1.459555059,6.285544297,3,8-Sep-11,47,26.26,26.58,28.86,27.11,26.73,27.6,26.32,27.57,26.33,33.74,31.89,29.38,30.91,30.11,31.82,28.75,24.23,27.36876499,27.10978071
48,GH093,GH093,Forest,Adansi Asokwa,Atatam,N06-17.389,W001-27.557,9/8/2011,27.1,24.23,22.52,27.26,85.03,27.6,71.4,4,0,Roofing beam,Wood,R_1,Normal,No,funestus,funestus,negative,funestus,Human,-1.459565059,6.285554297,3,8-Sep-11,48,26.1,28.27,28.76,27.64,28.37,27.93,27.81,34.43,28.49,31.98,30.53,29.35,31.22,29.71,35.48,29.74,24.23,27.36876499,27.45957953
49,GH094,GH094,Forest,Adansi Asokwa,Atatam,N06-17.390,W001-27.558,9/8/2011,27.1,24.23,22.52,27.26,85.03,27.6,71.4,4,0,Roofing beam,Wood,R_1,Normal,No,funestus,funestus,negative,funestus,Human,-1.459575059,6.285564297,3,8-Sep-11,49,29.13,26.82,34.38,31.71,33.24,30.87,31.61,21.92,28.84,31.23,26.05,32.27,31.9,33.88,32,30.39,24.23,27.36876499,27.39433555
50,GH096,GH096,Forest,Adansi Asokwa,Atatam,N06-17.391,W001-27.559,9/8/2011,27.1,24.23,22.52,27.26,85.03,27.5,73.2,13,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,gambiae,Human,-1.459585059,6.285574297,3,8-Sep-11,50,27.03,27.42,25.25,26.76,29.7,31.83,32.93,32.62,27.26,30.99,28.36,31.53,34.22,30.77,36.07,30.18,24.23,27.36876499,27.31321001
51,GH097,GH097,Forest,Adansi Asokwa,Atatam,N06-17.392,W001-27.560,9/8/2011,27.1,24.23,22.52,27.26,85.03,27.5,73.2,13,0,Roofing beam,Wood,R_1,Normal,No,funestus,funestus,negative,funestus,Human,-1.459595059,6.285584297,3,8-Sep-11,51,27.85,28.13,28.37,26.27,23.57,27.13,31.62,31.45,25.68,26.99,29.36,31.95,30.99,34.09,26.13,28.64,24.23,27.36876499,27.40715655
52,GH098,GH098,Forest,Adansi Asokwa,Atatam,N06-17.393,W001-27.561,9/8/2011,27.1,24.23,22.52,27.26,85.03,28.6,71.3,43,0,Wall,Mud,R_1,Normal,No,gambiae,gambiae,negative,gambiae,Human,-1.459605059,6.285594297,3,8-Sep-11,52,27.16,30.59,23.81,24.48,31.99,30.34,27.89,30.79,33.5,31.83,28.02,29.27,31.56,30.28,36.45,29.86,24.23,27.36876499,27.26373048
53,GH100,GH100,Forest,Adansi Asokwa,Atatam,N06-17.394,W001-27.562,9/8/2011,27.1,24.23,22.52,27.26,85.03,26.4,78.6,1,0,Roof,Bamboo,R_1,Normal,No,gambiae,gambiae,negative,gambiae,undetected,-1.459615059,6.285604297,3,8-Sep-11,53,27.13,27.66,29.56,26.22,29.84,27.35,29.69,29.36,32.63,31.11,27.89,32.56,27.44,28.76,25.75,28.86,24.23,27.36876499,27.32824409
54,GH101,GH101,Forest,Adansi Asokwa,Atatam,N06-17.395,W001-27.563,9/8/2011,27.1,24.23,22.52,27.26,85.03,26.7,77.8,14,0,Roof,Bamboo,R_1,Normal,No,gambiae,gambiae,negative,gambiae,Human,-1.459625059,6.285614297,3,8-Sep-11,54,30.55,29.1,30.79,25.34,28.45,26.39,29.16,27.28,25.63,30.78,29.71,23.42,31.15,34.73,34.26,29.12,24.23,27.36876499,27.32121301
55,GH102,GH102,Forest,Adansi Asokwa,Atatam,N06-17.396,W001-27.564,9/8/2011,27.1,24.23,22.52,27.26,85.03,26.3,78.6,2,0,Roof,Bamboo,R_1,Normal,No,gambiae,gambiae,negative,gambiae,Human,-1.459635059,6.285624297,3,8-Sep-11,55,26.69,29.26,31.63,29.16,28.49,30.24,25.86,31.69,24.47,29.94,33.02,33.54,27.13,30.98,34.09,29.75,24.23,27.36876499,27.43084009
56,GH104,GH104,Forest,Adansi Asokwa,Atatam,N06-17.397,W001-27.565,9/8/2011,27.1,24.23,22.52,27.26,85.03,28.9,72.1,0,0,Mosquito net,Polyester,R_2,Green,Yes,gambiae,gambiae,negative,gambiae,undetected,-1.459645059,6.285634297,3,8-Sep-11,56,30.91,29.59,23.45,26.08,28.17,28.98,29.54,26.86,28.37,26.71,28.48,31.29,35.75,34.17,30.59,29.26,24.23,27.36876499,27.51189209
57,GH105,GH105,Forest,Adansi Asokwa,Atatam,N06-17.398,W001-27.566,9/8/2011,27.1,24.23,22.52,27.26,85.03,27.9,72,0,0,Mosquito net,Polyester,R_2,Green,Yes,gambiae,gambiae,negative,gambiae,undetected,-1.459655059,6.285644297,3,8-Sep-11,57,23.47,25.97,29.13,28.91,29.15,29.67,26.92,30.69,30.09,30.17,31,29.82,30.04,28.23,30.71,28.93,24.23,27.36876499,27.18521958
